iter	Passed	Remaining
0	164	81879
1	192	47934
2	210	34827
3	242	30072
4	274	27176
5	305	25176
6	339	23919
7	366	22568
8	391	21360
9	414	20297
10	441	19633
11	456	18560
12	483	18128
13	510	17736
14	539	17435
15	566	17147
16	585	16638
17	612	16404
18	641	16247
19	669	16065
20	687	15687
21	698	15170
22	725	15053
23	757	15017
24	776	14751
25	804	14660
26	828	14508
27	856	14433
28	886	14391
29	900	14110
30	919	13911
31	938	13730
32	965	13668
33	996	13651
34	1024	13617
35	1053	13577
36	1081	13532
37	1108	13480
38	1136	13439
39	1164	13393
40	1170	13105
41	1198	13066
42	1225	13027
43	1249	12948
44	1277	12916
45	1306	12891
46	1333	12855
47	1362	12825
48	1367	12589
49	1396	12565
50	1424	12539
51	1451	12509
52	1479	12479
53	1507	12447
54	1540	12467
55	1571	12461
56	1600	12441
57	1628	12410
58	1656	12379
59	1684	12350
60	1711	12320
61	1739	12287
62	1766	12250
63	1793	12218
64	1816	12157
65	1844	12126
66	1871	12098
67	1900	12074
68	1929	12050
69	1957	12025
70	1985	11993
71	2003	11911
72	2031	11881
73	2054	11828
74	2082	11801
75	2110	11773
76	2137	11742
77	2167	11728
78	2198	11718
79	2226	11689
80	2255	11668
81	2283	11639
82	2311	11611
83	2340	11589
84	2368	11562
85	2395	11532
86	2423	11504
87	2447	11459
88	2474	11428
89	2501	11394
90	2529	11370
91	2556	11339
92	2584	11310
93	2607	11261
94	2635	11235
95	2645	11134
96	2673	11107
97	2701	11082
98	2730	11060
99	2758	11032
100	2781	10988
101	2792	10895
102	2819	10869
103	2848	10845
104	2876	10820
105	2904	10794
106	2931	10767
107	2946	10694
108	2956	10607
109	2984	10580
110	3003	10525
111	3022	10472
112	3050	10448
113	3078	10424
114	3106	10401
115	3135	10379
116	3162	10353
117	3190	10329
118	3218	10303
119	3246	10279
120	3274	10257
121	3302	10232
122	3330	10207
123	3358	10184
124	3389	10169
125	3417	10143
126	3445	10118
127	3473	10093
128	3500	10068
129	3530	10047
130	3557	10022
131	3581	9984
132	3609	9959
133	3637	9934
134	3665	9909
135	3693	9884
136	3722	9863
137	3751	9839
138	3778	9814
139	3806	9789
140	3834	9763
141	3862	9738
142	3890	9712
143	3918	9688
144	3946	9661
145	3973	9635
146	4001	9609
147	4029	9583
148	4056	9556
149	4085	9532
150	4113	9508
151	4142	9483
152	4171	9460
153	4199	9435
154	4227	9408
155	4258	9390
156	4277	9345
157	4307	9323
158	4334	9297
159	4363	9272
160	4392	9248
161	4421	9224
162	4448	9197
163	4476	9170
164	4504	9144
165	4533	9121
166	4589	9152
167	4623	9136
168	4664	9136
169	4698	9120
170	4728	9097
171	4757	9072
