iter	Accuracy	Logloss
0	0.8232819074	0.6671499809
1	0.8387096774	0.6338140682
2	0.8457223001	0.6024651362
3	0.8415147265	0.5863363358
4	0.8387096774	0.5629383256
5	0.8387096774	0.5433871731
6	0.840112202	0.5210040516
7	0.8415147265	0.5036133409
8	0.8457223001	0.4881686293
9	0.8429172511	0.4715721085
10	0.8429172511	0.4626351427
11	0.8443197756	0.4540628193
12	0.8471248247	0.4450890724
13	0.8429172511	0.4377206428
14	0.8415147265	0.4280026242
15	0.8443197756	0.4218055444
16	0.8457223001	0.4145445221
17	0.8457223001	0.4064379948
18	0.8499298738	0.3999412889
19	0.8499298738	0.3941771856
20	0.8471248247	0.3899861908
21	0.8471248247	0.3851542763
22	0.8471248247	0.3808526901
23	0.8485273492	0.3758965074
24	0.8471248247	0.3736074554
25	0.8513323983	0.3715759042
26	0.8513323983	0.3697074926
27	0.8527349229	0.3667620255
28	0.8527349229	0.3641349957
29	0.8541374474	0.3629077558
30	0.8541374474	0.361119139
31	0.858345021	0.3592736916
32	0.858345021	0.3573659795
33	0.8555399719	0.3554355438
34	0.8597475456	0.3545532925
35	0.8569424965	0.3524142137
36	0.8569424965	0.3509919235
37	0.8569424965	0.3483754427
38	0.8569424965	0.3478035588
39	0.858345021	0.3461349073
40	0.858345021	0.342963839
41	0.858345021	0.3410683655
42	0.858345021	0.3398013715
43	0.858345021	0.3390463932
44	0.858345021	0.3376442682
45	0.858345021	0.3374902229
46	0.858345021	0.3369925424
47	0.858345021	0.3358532384
48	0.858345021	0.33511874
49	0.8597475456	0.3338837273
50	0.8597475456	0.3337670387
51	0.8597475456	0.3335729147
52	0.8597475456	0.3327642615
53	0.8597475456	0.3316448813
54	0.858345021	0.3313219374
55	0.858345021	0.3308041876
56	0.8611500701	0.3296184503
57	0.8611500701	0.3292460913
58	0.8639551192	0.32800461
59	0.8639551192	0.3278410777
60	0.8639551192	0.3273381672
61	0.8639551192	0.3273258984
62	0.8639551192	0.327020371
63	0.8639551192	0.326088042
64	0.8653576438	0.3244960421
65	0.8667601683	0.3237710972
66	0.8639551192	0.3234908201
67	0.8681626928	0.3219293936
68	0.8695652174	0.3209384649
69	0.8681626928	0.3204066196
70	0.8695652174	0.3197851382
71	0.8695652174	0.3197583174
72	0.8681626928	0.3187427113
73	0.8681626928	0.31868827
74	0.8723702665	0.3178849725
75	0.8723702665	0.3177762113
76	0.8723702665	0.3173907557
77	0.8723702665	0.3173808927
78	0.873772791	0.3172051778
79	0.873772791	0.3171918201
80	0.873772791	0.3161832124
81	0.873772791	0.3156052954
82	0.873772791	0.3147712632
83	0.873772791	0.3140943163
84	0.873772791	0.3137510801
85	0.8779803647	0.3128176399
86	0.8807854137	0.3120759306
87	0.8807854137	0.3118456412
88	0.8807854137	0.311747057
89	0.8835904628	0.3115570278
90	0.8807854137	0.3107530082
91	0.8835904628	0.3100710408
92	0.8835904628	0.3099841079
93	0.8835904628	0.30930801
94	0.8835904628	0.3088549032
95	0.8849929874	0.307951668
96	0.8863955119	0.3072637557
97	0.8849929874	0.3071228763
98	0.8863955119	0.3063249852
99	0.8877980365	0.305840686
100	0.8877980365	0.305003439
101	0.8877980365	0.3049255665
102	0.8877980365	0.3048253039
103	0.8877980365	0.3047684709
104	0.8877980365	0.3037442734
105	0.8920056101	0.3024493724
106	0.8920056101	0.3022720103
107	0.8920056101	0.3019520907
108	0.8920056101	0.3018752388
109	0.8920056101	0.3008033653
110	0.8920056101	0.3005486674
111	0.8920056101	0.3000234748
112	0.8906030856	0.2992904111
113	0.8906030856	0.298301581
114	0.8906030856	0.297936596
115	0.8906030856	0.2979339062
116	0.8906030856	0.2978585057
117	0.8906030856	0.29751158
118	0.8906030856	0.2974269575
119	0.8906030856	0.2973980656
120	0.8920056101	0.2964693584
121	0.8934081346	0.2964286583
122	0.8934081346	0.2956497488
123	0.8962131837	0.2951850287
