iter	Accuracy	Logloss
0	0.7851123596	0.6857952025
1	0.7865168539	0.6810466864
2	0.8117977528	0.674346949
3	0.8047752809	0.6679442399
4	0.797752809	0.6623077715
5	0.8103932584	0.656694425
6	0.7991573034	0.6516312402
7	0.8033707865	0.6459020105
8	0.808988764	0.6395051905
9	0.8132022472	0.6345790478
10	0.8230337079	0.6291415973
11	0.8230337079	0.6255659614
12	0.8286516854	0.6207985194
13	0.8286516854	0.6153961752
14	0.8244382022	0.610793915
15	0.8244382022	0.6059412766
16	0.8258426966	0.6013195971
17	0.827247191	0.5969690949
18	0.8314606742	0.5928082177
19	0.8258426966	0.588923324
20	0.8286516854	0.5842486456
21	0.8300561798	0.5805481777
22	0.8300561798	0.5771076584
23	0.8286516854	0.572925654
24	0.8286516854	0.570031806
25	0.8258426966	0.5666483743
26	0.8216292135	0.5628034697
27	0.8216292135	0.5598139168
28	0.8230337079	0.5566497571
29	0.8258426966	0.5525814033
30	0.8244382022	0.5502821359
31	0.8244382022	0.5471283007
32	0.8230337079	0.5433745424
33	0.8216292135	0.5412281398
34	0.8258426966	0.5384823482
35	0.827247191	0.53467098
36	0.8258426966	0.5317928333
37	0.827247191	0.5293041207
38	0.8286516854	0.5264957806
39	0.827247191	0.5229944688
40	0.8286516854	0.5208900981
41	0.827247191	0.5181611613
42	0.827247191	0.515598622
43	0.827247191	0.5135213431
44	0.8258426966	0.5112833906
45	0.827247191	0.5089806897
46	0.8286516854	0.5075374924
47	0.8286516854	0.5062527423
48	0.827247191	0.5040349638
49	0.8258426966	0.5018927419
50	0.827247191	0.4997174386
51	0.827247191	0.4978994788
52	0.8286516854	0.4952303726
53	0.827247191	0.4929593702
54	0.827247191	0.4908884839
55	0.8286516854	0.4888547605
56	0.827247191	0.4872992478
57	0.827247191	0.4857158961
58	0.8286516854	0.4839222799
59	0.827247191	0.4830067971
60	0.827247191	0.4814508736
61	0.8286516854	0.4798262238
62	0.8286516854	0.4781147347
63	0.8286516854	0.4766144498
64	0.8286516854	0.4747397935
65	0.8286516854	0.4733286969
66	0.8286516854	0.472458992
67	0.8286516854	0.4716116921
68	0.8286516854	0.4708820552
69	0.8286516854	0.4689738408
70	0.8286516854	0.4672840858
71	0.8258426966	0.465728313
72	0.8258426966	0.4650762462
73	0.8258426966	0.4635556764
74	0.8258426966	0.4623482061
75	0.827247191	0.4614241056
