iter	Passed	Remaining
0	21	18600
1	48	21101
2	187	54752
3	214	47116
4	248	43509
5	275	40162
6	429	53620
7	475	51921
8	631	61140
9	712	62064
10	732	57895
11	770	55812
12	909	60711
13	923	57202
14	974	56289
15	1094	59160
16	1129	57396
17	1210	58050
18	1237	56127
19	1285	55359
20	1367	55987
21	1505	58776
22	1531	57145
23	1564	55853
24	1705	58392
25	1744	57380
26	1898	60040
27	2047	62373
28	2112	62060
29	2266	64302
30	2417	66290
31	2472	65603
32	2517	64683
33	2551	63563
34	2578	62334
35	2628	61693
36	2774	63284
37	2808	62308
38	2951	63719
39	2975	62561
40	3118	63883
41	3132	62576
42	3281	63958
43	3423	65117
44	3477	64604
45	3649	66250
46	3803	67487
47	3836	66579
48	3856	65481
49	4001	66501
50	4021	65451
51	4161	66339
52	4304	67243
53	4447	68107
54	4584	68845
55	4725	69617
56	4868	70383
57	5002	70985
58	5138	71590
59	5283	72296
60	5297	71217
61	5457	72085
62	5600	72714
63	5649	72122
64	5792	72720
65	5935	73290
